Date,Requested Impressions,Total Clicks,Clickthrough Rate,Banner - Viewability,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate
8 Mar 2017,657,12,2.12%,10.12%,342,314,280,264,73.74%
9 Mar 2017,21138,171,1.39%,9.15%,9432,8703,7940,7472,73.12%
10 Mar 2017,7463,90,2.13%,17.95%,2825,2581,2308,2123,68.53%
11 Mar 2017,18290,200,1.62%,25.29%,8271,7555,6810,6300,70.05%
12 Mar 2017,10317,114,1.58%,26.56%,4777,4385,3920,3628,68.95%
13 Mar 2017,12606,116,1.39%,28.12%,5086,4619,4107,3787,67.53%
14 Mar 2017,15678,137,1.52%,21.19%,5961,5458,4904,4555,69.40%
15 Mar 2017,13024,80,1.50%,9.61%,3771,3480,3147,2917,72.19%
16 Mar 2017,10832,60,1.47%,9.26%,2868,2641,2356,2215,70.54%
Totals,110005,980,1.54%,17.87%,43333,39736,35772,33261,70.35%
