Date,Requested Impressions,Total Clicks,Clickthrough Rate,Banner - Viewability,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate
8 Mar 2017,2710,25,1.24%,9.23%,1322,1206,1086,1028,71.74%
9 Mar 2017,15943,126,1.36%,8.93%,7051,6513,5903,5535,72.61%
10 Mar 2017,7748,83,1.86%,18.94%,2937,2710,2420,2254,70.64%
11 Mar 2017,11211,104,1.38%,24.60%,5035,4621,4159,3869,70.32%
12 Mar 2017,10482,143,1.93%,27.57%,4892,4446,3988,3677,68.27%
13 Mar 2017,11112,113,1.55%,28.10%,4471,4073,3588,3300,66.40%
14 Mar 2017,14600,137,1.67%,20.76%,5391,4892,4393,4061,67.76%
15 Mar 2017,9818,62,1.61%,8.28%,2838,2620,2388,2248,73.87%
16 Mar 2017,9202,51,1.42%,9.50%,2523,2334,2133,1979,72.36%
Totals,92826,844,1.58%,17.76%,36460,33415,30058,27951,70.09%
