Date,Requested Impressions,Total Clicks,Clickthrough Rate,Banner - Viewability,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate
8 Mar 2017,779,8,0.95%,10.31%,409,386,360,342,76.51%
9 Mar 2017,11665,82,1.21%,9.39%,5111,4699,4302,4047,73.58%
10 Mar 2017,5025,61,2.16%,19.70%,1879,1708,1520,1412,68.95%
11 Mar 2017,7613,77,1.48%,24.86%,3475,3206,2898,2702,71.12%
12 Mar 2017,6998,82,1.66%,26.66%,3277,3030,2700,2511,69.98%
13 Mar 2017,7476,83,1.66%,29.60%,3043,2758,2435,2255,66.70%
14 Mar 2017,9679,103,1.81%,21.45%,3683,3375,3061,2818,69.46%
15 Mar 2017,6636,43,1.67%,8.86%,1806,1650,1505,1400,70.96%
16 Mar 2017,6189,32,1.22%,9.91%,1761,1628,1466,1393,72.14%
Totals,62060,571,1.57%,18.24%,24444,22440,20247,18880,70.65%
