Date,Requested Impressions,Total Clicks,Clickthrough Rate,Banner - Viewability,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate
8 Mar 2017,0,0,0.00%,0.00%,0,0,0,0,0.00%
9 Mar 2017,6461,67,1.50%,12.27%,3179,2884,2613,2435,69.47%
10 Mar 2017,15333,135,1.45%,16.10%,6312,5767,5212,4878,70.44%
11 Mar 2017,8917,106,1.71%,25.65%,4113,3755,3389,3169,70.74%
12 Mar 2017,10282,85,1.15%,27.32%,4772,4384,3916,3618,69.15%
13 Mar 2017,11180,99,1.34%,28.40%,4522,4085,3660,3396,67.41%
14 Mar 2017,14873,133,1.57%,21.32%,5675,5203,4717,4378,69.99%
15 Mar 2017,9983,52,1.30%,9.80%,2879,2654,2421,2263,72.23%
16 Mar 2017,9807,59,1.54%,9.59%,2810,2587,2326,2182,72.01%
Totals,86836,736,1.44%,19.01%,34262,31319,28254,26319,70.00%
