Date,Requested Impressions,Total Clicks,Clickthrough Rate,Banner - Viewability,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate
8 Mar 2017,313,6,1.67%,10.94%,144,134,123,114,75.00%
9 Mar 2017,9046,67,1.31%,9.03%,3786,3500,3213,3014,73.60%
10 Mar 2017,3616,36,1.69%,17.62%,1341,1213,1086,1000,68.68%
11 Mar 2017,5819,64,1.62%,24.69%,2636,2415,2161,2015,69.89%
12 Mar 2017,5330,66,1.79%,28.19%,2475,2252,2017,1862,68.48%
13 Mar 2017,5576,49,1.33%,28.12%,2272,2097,1865,1725,68.89%
14 Mar 2017,7265,65,1.60%,20.77%,2746,2475,2230,2083,69.48%
15 Mar 2017,4888,37,1.99%,8.21%,1322,1211,1096,1013,70.59%
16 Mar 2017,4626,32,1.66%,9.12%,1289,1185,1066,998,72.11%
Totals,46479,422,1.58%,17.76%,18011,16482,14857,13824,70.44%
